S.No,Variety,Year of release_AD,Year of release_BS,Origin,Days to maturity,Average plant height,Yield,Recommended domain,Season grown,Status
61,Machapuchhre-3,1997,2052,Nepal,174,127,5,Mid-hills and high hills (semi-irrigated),Main season,Recommended
62,Khumal-6,1999,2056,,155,,7.8,Kathmandu valley and equivalent areas,Main season,Recommended
63,Rampur Masuli,1999,2056,,135,,5.7,"Central and western terai, inner terai and foot hills (irrigated and semi-irrigated)",Main season,Recommended
64,Manjushree-2,2002,2058,Nepal,149,,8.3,Kathmandu Valley,Main season,Recommended
65,Khumal-11,2002,2058,Nepal,144,,7.7,Kathmandu Valley,Main season,Recommended
66,Chandannath-1,2002,2058,Jhingling-78 (China),191,,6,High altitudes (Jumla),Main season,Recommended
67,Chandannath-3,2002,2058,Yungen-1 (China),191,,6,High altitudes (Jumla),Main season,Recommended
68,Loktantra,2006,2063,IRRI,130,,3.6,"Terai, Inner Terai, Mid-hills (3000 ft.)",Main season,Recommended
69,Mithila,2006,2063,IRRI,145,,5,Terai,Main season,Recommended
70,Ram dhan,2006,2063,Nepal,133,,4.9,"Terai, Inner Terai",Main season,Recommended
71,Barkhe 3004,2006,2063,India/IRRI,157,,3.9,"Terai,InnerTerai",Main season,Recommended
72,Pokhreli Jetho Budho,2006,2063,Nepal,185,,2.7,600-900 masl (Pokhara valley),Main season,Recommended
73,Khumal-8,2006,2063,Nepal,158,,9.8,"Terai, Inner Terai, Mid-hill",Main season,Recommended
74,Sunaulo Sugandha,2008,2064,UK,115,,3.8,"Terai, Inner Terai",Main season,Recommended
75,Ghaiya-1,2010,2066,IRRI,115,,3.6,"Terai, Inner terai, Midhills",Main season,Recommended
76,Lalka Basmati,2010,2066,Nepal,150,,3.5,Central and Eastern terai,Main season,Recommended
77,Hardinath-2,2010,2066,Indonesia,125,,3.1-4.2,"Terai, Inner Terai",Main season,Recommended
78,Tarahara-1,2010,2066,IRRI,113-125,,4.2,Terai and Eastern terai,Main season,Recommended
79,Khumal-10,2010,2068,Nepal,145,,4.5,Mid-hills,Main season,Recommended
80,Khumal-13,2010,2068,Nepal,145,,4.5,Mid-hills,Main season,Recommended
81,Sukhha Dhan-1,2011,2068,IRRI,125,,2.5-3.6,"Terai, Inner Terai, River basin",Main season,Recommended
82,Sukhha Dhan-2,2011,2068,IRRI,125,,3.3-3.5,"Terai, Inner Terai, River basin",Main season,Recommended
83,Sukhha Dhan-3,2011,2068,IRRI,125,,3.2-4.2,"Terai, Inner Terai, River basin",Main season,Recommended
84,Barkhe-2014,2011,2068,IRRI,125,,3.5,"Terai, Inner Terai, River basin",Main season,Recommended
85,Swarna Sub-1,2011,2068,IRRI,150,,4.5,Terai,Main season,Recommended
86,Sambha Masuli Sub-1,2011,2068,IRRI,150,,4.5,Inner Terai,Main season,Recommended
87,Lekali Dhan-1,2014,2071,Nepal,158,,4.07,"1500-2600 msl, High hill",Main season,Recommended
88,Lekali Dhan-3,2014,2071,Nepal,152,,3.9,"1500-2600 msl, High hill",Main season,Recommended
89,Sukkha Dhan-4,2014,2071,IRRI,118-125,,2.7-4,"Unirrigated areas of Terai, Inner terai and Mid hills (500 masl)",Main season,Recommended
90,Sukkha Dhan-5,2014,2071,IRRI,125,,3.2-4.2,"Unirrigated areas of Terai, Inner terai and Mid hills (500 masl)",Main season,Recommended
91,Sukkha Dhan-6,2014,2071,IRRI,120-125,,3.0-4.0,"Unirrigated areas of Terai, Inner terai and Mid hills (500 masl)",Main season,Recommended
92,Radha-14,2016,2073,,120-125,,5.0-6.0,"Terai, Inner Terai (Irrigated)",Main season,Recommended
93,Sugandhit Dhan-1,2017,2073,,142-145,,4.5,"Terai, Inner terai, River basin and valleys; Upto 700 masl",Main season,Recommended
94,Radha-13,2017,2073,,142-148,,3.0-4.2,"Unirrigated areas of Terai, Inner terai, River basin, Lowlands and Irrigated areas of valleys; Upto 700 masl",Main season,Recommended
95,Ciherang Sub-1,2017,2073,,122-125,,4.4-4.9,"Terai, Inner terai, River basin, Lowlands and Irrigated areas of valleys; Upto 700 masl",Main season,Recommended
96,Chaite-5,2018,2074,,120-125,,4.6,"Terai, Inner terai and river basins; Upto 700 masl",Spring season,Recommended
97,JKRH-2082 F1,2017,2073,,130,,8.5-9,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
98,JKRH-3333,2017,2073,,135,,6,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
99,HJG-1 F1,2017,2073,,120-125,,8.0-9.0,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
100,HJG-5 F1,2017,2073,,120-130,,7.0-8.0,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
101,HJG-10 F1,2017,2074,,120-125,,8.0-9.0,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
102,Bahuguni-1,2018,2074,,135,,5.5,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
103,Bahuguni-2,2018,2074,,142,,5.8,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
104,Hardinath-3,2018,2074,,125,,5.5,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
105,LG9301 F1,2018,2074,,120-125,,7.5-8.0,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
106,LG9302 F1,2018,2074,,120-125,,7.5-8.0,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
107,Sawa 127 F1,2018,2074,,118,,5.16,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
108,Sawa 134 F1,2018,2074,,115-118,,5.64,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
109,Arise-6129 Gold F1,2018,2074,,112-115,,6.5-7,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
110,Arise Prime F1,2018,2074,,130-135,,7.5-8.0,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
111,VNR-2233 F1,2018,2074,,120-125,,5.5-6.6,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
112,DY-68 F1,2018,2074,,120,,4.6-6.2,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
113,DY-79 F1,2018,2074,,121,,4.6-6.2,"Terai, Inner terai and river basins; Upto 700 masl",Main season,Recommended
114,Black rice,2018,2075,,99-125,,2.2,"Terai, Inner terai, Hills, Valleys and Tars",Main season,Recommended
115,LPNBR 1605,2018,2075,,150,,7,Eastern and central terai,Main season,Recommended
116,Shreeram Khusboo,2018,2075,,118-121,,5.2-6.2,"Terai, Inner terai and river basins",Main season,Recommended
117,Arise Idea,2018,2075,,120-125,,5.3-6.1,"Terai, Inner terai and river basins",Main season,Recommended
118,Ultra Super Sampurna,2018,2075,,135-137,,4.05-4.51,"Terai, Inner terai, Hills, Valleys and Tars",Main season,Recommended
,DY-18 F1,2010,2066,,118,,9.17,Terai and Inner terai,,Recommended
,DY-28 F1,2010,2066,,120,,8.86,Terai and Inner terai,,Recommended
,DY-69 F1,2010,2066,,125,,9.52,Terai and Inner terai,,Recommended
,Barkhe-1027,2011,2068,,121,,3.3,Non irrigated terai and inner terai regions; Upto 1000 masl,,Recommended
,Sinduri OP,2015,2072,,135-145,,4.0-5.0,Terai and Inner terai,,
,Sundaram OP,2015,2072,,120-125,,4.4-5.3,Terai and Inner terai,,
,Delta rani OP,2015,2072,,124-128,,3.9-5,Terai and Inner terai,,
,Aakash,2015,2072,,120-125,,6-6.3,Terai and Inner terai,,
,Garima F1,2015,2072,,130-135,,5.8-6.3,Terai and Inner terai,,
,DRH-775,2015,2072,,125-130,,5.6,Terai and Inner terai,,
,DRH-748,2015,2072,,130-135,,6.5,Terai and Inner terai,,
,Arise-6444 Gold F1,2015,2072,,130,,5.1,Eastern terai region ranging for Banke,,
,Arise Tej Gold F1,2015,2072,,135,,5.3,Eastern terai region ranging for Banke,,
,GK-5017 F1,2015,2072,,127,,5.1-5.4,Terai and Inner terai,,
,Super 125 F1,2015,2072,,128-133,,5.3-6.3,Irrigated and semi-irrigated regions of terai and inner terai,,
,Super 115 F1,2015,2072,,120-125,,5.0-6.0,Irrigated and semi-irrigated regions of terai and inner terai,,
,Shanti F1,2015,2072,,120-130,,5.0-6.0,Irrigated regions terai and inner terai,,
,Sudha F1,2015,2072,,125-130,,5.0-6.0,Irrigated regions terai and inner terai,,
,US-323 F1,2015,2072,,120-130,,4.0-5.0,Irrigated regions terai and inner terai,,
,US-382 F1,2016,2072,,120-125,,5.0-6.0,Irrigated regions terai and inner terai,,
